Country,Country_code,Who_region,Wb_income,Year,Month,Agegroup,Deaths
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,2,5_14,0
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,2,65+,0
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,1,0_4,0
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,1,65+,0
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,1,15_64,1
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,2,15_64,0
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,2,0_4,0
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,1,5_14,0
Bonaire,XAA,AMR,,2025,1,65+,
Bonaire,XAA,AMR,,2025,2,65+,
Bonaire,XAA,AMR,,2025,1,0_4,
Bonaire,XAA,AMR,,2025,2,0_4,
Bonaire,XAA,AMR,,2025,1,5_14,
Bonaire,XAA,AMR,,2025,2,5_14,
Bonaire,XAA,AMR,,2025,1,15_64,
Bonaire,XAA,AMR,,2025,2,15_64,
"Bonaire, Sint Eustatius and Saba",BES,AMR,,2025,1,65+,
"Bonaire, Sint Eustatius and Saba",BES,AMR,,2025,1,5_14,
"Bonaire, Sint Eustatius and Saba",BES,AMR,,2025,2,5_14,
"Bonaire, Sint Eustatius and Saba",BES,AMR,,2025,1,15_64,
"Bonaire, Sint Eustatius and Saba",BES,AMR,,2025,2,15_64,
"Bonaire, Sint Eustatius and Saba",BES,AMR,,2025,2,65+,
"Bonaire, Sint Eustatius and Saba",BES,AMR,,2025,1,0_4,
"Bonaire, Sint Eustatius and Saba",BES,AMR,,2025,2,0_4,
Bosnia and Herzegovina,BIH,EUR,UMC,2025,1,0_4,0
Bosnia and Herzegovina,BIH,EUR,UMC,2025,1,65+,1
Bosnia and Herzegovina,BIH,EUR,UMC,2025,1,5_14,0
Bosnia and Herzegovina,BIH,EUR,UMC,2025,2,5_14,0
Bosnia and Herzegovina,BIH,EUR,UMC,2025,2,15_64,0
Bosnia and Herzegovina,BIH,EUR,UMC,2025,2,0_4,0
Bosnia and Herzegovina,BIH,EUR,UMC,2025,2,65+,1
Bosnia and Herzegovina,BIH,EUR,UMC,2025,1,15_64,0
Botswana,BWA,AFR,UMC,2025,1,65+,
Botswana,BWA,AFR,UMC,2025,2,65+,
Botswana,BWA,AFR,UMC,2025,1,0_4,
Botswana,BWA,AFR,UMC,2025,2,0_4,
Botswana,BWA,AFR,UMC,2025,1,15_64,
Botswana,BWA,AFR,UMC,2025,2,15_64,
Botswana,BWA,AFR,UMC,2025,1,5_14,
Botswana,BWA,AFR,UMC,2025,2,5_14,
Bouvet Island,BVT,AMR,,2025,2,5_14,
Bouvet Island,BVT,AMR,,2025,1,5_14,
Bouvet Island,BVT,AMR,,2025,2,0_4,
Bouvet Island,BVT,AMR,,2025,1,65+,
Bouvet Island,BVT,AMR,,2025,2,65+,
Bouvet Island,BVT,AMR,,2025,1,15_64,
Bouvet Island,BVT,AMR,,2025,2,15_64,
Bouvet Island,BVT,AMR,,2025,1,0_4,
Brazil,BRA,AMR,UMC,2025,2,0_4,3
Brazil,BRA,AMR,UMC,2025,2,5_14,0
Brazil,BRA,AMR,UMC,2025,1,15_64,55
Brazil,BRA,AMR,UMC,2025,1,65+,192
Brazil,BRA,AMR,UMC,2025,2,15_64,27
Brazil,BRA,AMR,UMC,2025,1,0_4,15
Brazil,BRA,AMR,UMC,2025,2,65+,152
Brazil,BRA,AMR,UMC,2025,1,5_14,2
British Indian Ocean Territory,IOT,AFR,,2025,1,5_14,
British Indian Ocean Territory,IOT,AFR,,2025,2,5_14,
British Indian Ocean Territory,IOT,AFR,,2025,1,65+,
British Indian Ocean Territory,IOT,AFR,,2025,2,65+,
British Indian Ocean Territory,IOT,AFR,,2025,1,15_64,
British Indian Ocean Territory,IOT,AFR,,2025,1,0_4,
British Indian Ocean Territory,IOT,AFR,,2025,2,0_4,
British Indian Ocean Territory,IOT,AFR,,2025,2,15_64,
British Virgin Islands,VGB,AMR,HIC,2025,1,0_4,0
British Virgin Islands,VGB,AMR,HIC,2025,1,5_14,0
British Virgin Islands,VGB,AMR,HIC,2025,2,65+,0
British Virgin Islands,VGB,AMR,HIC,2025,2,0_4,0
British Virgin Islands,VGB,AMR,HIC,2025,2,15_64,0
British Virgin Islands,VGB,AMR,HIC,2025,1,15_64,0
British Virgin Islands,VGB,AMR,HIC,2025,2,5_14,0
British Virgin Islands,VGB,AMR,HIC,2025,1,65+,0
Brunei Darussalam,BRN,WPR,HIC,2025,1,65+,0
Brunei Darussalam,BRN,WPR,HIC,2025,2,0_4,0
Brunei Darussalam,BRN,WPR,HIC,2025,1,15_64,0
Brunei Darussalam,BRN,WPR,HIC,2025,2,5_14,0
Brunei Darussalam,BRN,WPR,HIC,2025,1,0_4,0
Brunei Darussalam,BRN,WPR,HIC,2025,2,65+,0
Brunei Darussalam,BRN,WPR,HIC,2025,1,5_14,0
Brunei Darussalam,BRN,WPR,HIC,2025,2,15_64,0
Bulgaria,BGR,EUR,UMC,2025,2,5_14,
Bulgaria,BGR,EUR,UMC,2025,1,0_4,
Bulgaria,BGR,EUR,UMC,2025,1,5_14,
Bulgaria,BGR,EUR,UMC,2025,2,0_4,
Bulgaria,BGR,EUR,UMC,2025,1,65+,
Bulgaria,BGR,EUR,UMC,2025,2,65+,
Bulgaria,BGR,EUR,UMC,2025,1,15_64,
Bulgaria,BGR,EUR,UMC,2025,2,15_64,
Burkina Faso,BFA,AFR,LIC,2025,1,15_64,
Burkina Faso,BFA,AFR,LIC,2025,2,15_64,
Burkina Faso,BFA,AFR,LIC,2025,1,5_14,
Burkina Faso,BFA,AFR,LIC,2025,1,65+,
Burkina Faso,BFA,AFR,LIC,2025,2,5_14,
Burkina Faso,BFA,AFR,LIC,2025,2,65+,
Burkina Faso,BFA,AFR,LIC,2025,1,0_4,
Burkina Faso,BFA,AFR,LIC,2025,2,0_4,
Burundi,BDI,AFR,LIC,2025,2,15_64,
Burundi,BDI,AFR,LIC,2025,1,15_64,
Burundi,BDI,AFR,LIC,2025,2,65+,
Burundi,BDI,AFR,LIC,2025,2,5_14,
Burundi,BDI,AFR,LIC,2025,1,0_4,
Burundi,BDI,AFR,LIC,2025,1,5_14,
Burundi,BDI,AFR,LIC,2025,1,65+,
Burundi,BDI,AFR,LIC,2025,2,0_4,
Cabo Verde,CPV,AFR,LMC,2025,1,5_14,
Cabo Verde,CPV,AFR,LMC,2025,2,5_14,
Cabo Verde,CPV,AFR,LMC,2025,1,65+,
Cabo Verde,CPV,AFR,LMC,2025,1,15_64,
Cabo Verde,CPV,AFR,LMC,2025,2,15_64,
Cabo Verde,CPV,AFR,LMC,2025,1,0_4,
Cabo Verde,CPV,AFR,LMC,2025,2,0_4,
Cabo Verde,CPV,AFR,LMC,2025,2,65+,
Cambodia,KHM,WPR,LMC,2025,1,0_4,
Cambodia,KHM,WPR,LMC,2025,2,0_4,
Cambodia,KHM,WPR,LMC,2025,1,15_64,
Cambodia,KHM,WPR,LMC,2025,1,5_14,
Cambodia,KHM,WPR,LMC,2025,2,5_14,
Cambodia,KHM,WPR,LMC,2025,1,65+,
Cambodia,KHM,WPR,LMC,2025,2,65+,
Cambodia,KHM,WPR,LMC,2025,2,15_64,
Cameroon,CMR,AFR,LMC,2025,1,0_4,
Cameroon,CMR,AFR,LMC,2025,2,0_4,
Cameroon,CMR,AFR,LMC,2025,2,15_64,
